Date,Participant,Session,Block,Trial,Target,Stimulus,Stimulus Color,Reaction Time,stimulus presentation,blank presentation,jitter
20170201,122,1,8,16,A,x,red,0.0,0.4,0.1,0.14811077935697214
20170201,122,1,8,17,A,W,yellow,0.0,0.4,0.1,0.0762805242105305
20170201,122,1,8,18,A,r,yellow,0.26343107223510742,0.4,0.1,0.08786723157592945
20170201,122,1,8,19,A,A,magenta,0.0,0.4,0.1,0.04623316627403225
20170201,122,1,8,20,A,G,black,0.46310710906982422,0.4,0.1,0.15884063891001615
20170201,122,1,8,21,A,Q,black,0.0,0.4,0.1,0.013350372077526252
20170201,122,1,8,22,A,r,yellow,0.0,0.4,0.1,0.04931818474009615
20170201,122,1,8,23,A,W,cyan,0.49639296531677246,0.4,0.1,0.08689117843262445
20170201,122,1,8,24,A,Q,cyan,0.19691205024719238,0.4,0.1,0.15348112134703315
20170201,122,1,8,25,A,q,cyan,0.37991213798522949,0.4,0.1,0.13897393585545942
20170201,122,1,8,26,A,A,black,0.0,0.4,0.1,0.04424690147764274
20170201,122,1,8,27,A,H,black,0.0,0.4,0.1,0.15228625638001386
20170201,122,1,8,28,A,s,magenta,0.51292991638183594,0.4,0.1,0.0024343839781378884
20170201,122,1,8,29,A,h,red,0.46328282356262207,0.4,0.1,0.083487737086432
20170201,122,1,9,0,D,a,black,0.0,0.4,0.1,0.14809250730575726
20170201,122,1,9,1,D,T,cyan,0.0,0.4,0.1,0.1660978530870859
20170201,122,1,9,2,D,q,cyan,0.046790838241577148,0.4,0.1,0.10969084824805556
20170201,122,1,9,3,D,D,magenta,0.47978901863098145,0.4,0.1,0.18881643105405022
20170201,122,1,9,4,D,D,yellow,0.49651098251342773,0.4,0.1,0.1877417466359958
20170201,122,1,9,5,D,q,black,0.0,0.4,0.1,0.19909287202337098
20170201,122,1,9,6,D,w,cyan,0.0,0.4,0.1,0.07999470636338923
20170201,122,1,9,7,D,h,black,0.0,0.4,0.1,0.11808684881828085
20170201,122,1,9,8,D,h,yellow,0.0,0.4,0.1,0.05611088397926931
20170201,122,1,9,9,D,W,cyan,0.42997217178344727,0.4,0.1,0.060065962014663125
20170201,122,1,9,10,D,X,red,0.0,0.4,0.1,0.0318937835438226
20170201,122,1,9,11,D,r,black,0.0,0.4,0.1,0.16154743229415466
20170201,122,1,9,12,D,R,magenta,0.0,0.4,0.1,0.19471699734501183
20170201,122,1,9,13,D,P,black,0.0,0.4,0.1,0.072813143190632
20170201,122,1,9,14,D,H,yellow,0.2132108211517334,0.4,0.1,0.04054322535865893
20170201,122,1,9,15,D,g,yellow,0.12985491752624512,0.4,0.1,0.10968706523812002
20170201,122,1,9,16,D,w,red,0.0,0.4,0.1,0.15626418825021754
20170201,122,1,9,17,D,h,black,0.0,0.4,0.1,0.1818649584060448
20170201,122,1,9,18,D,H,yellow,0.26343107223510742,0.4,0.1,0.14042758764773985
20170201,122,1,9,19,D,w,red,0.0,0.4,0.1,0.18975433885916246
20170201,122,1,9,20,D,x,magenta,0.46310710906982422,0.4,0.1,0.029977536418934882
20170201,122,1,9,21,D,s,black,0.0,0.4,0.1,0.18120205422550434
20170201,122,1,9,22,D,H,black,0.0,0.4,0.1,0.036324244608664506
20170201,122,1,9,23,D,R,cyan,0.49639296531677246,0.4,0.1,0.16662998452030922
20170201,122,1,9,24,D,t,yellow,0.19691205024719238,0.4,0.1,0.1433687785758174
20170201,122,1,9,25,D,A,magenta,0.37991213798522949,0.4,0.1,0.12188013688313631
20170201,122,1,9,26,D,A,magenta,0.0,0.4,0.1,0.10172701827911496
